stock,n_forecasts,mse,rmse,mae,correlation,directional_accuracy,mean_optimal_alpha
VZ,341,0.004679159222163761,0.06840438013872914,0.05182410030683413,0.13726438597615717,0.5249266862170088,0.9798912070985087
WMT,341,0.00391742750040661,0.06258935612711325,0.04722881992052377,0.06780982220340248,0.5747800586510264,1.2997589074100564
DIS,341,0.0070291174125962095,0.08383983189747109,0.06218192274898798,0.05085555574622831,0.5454545454545454,1.2860645858725324
WBA,341,0.008226991608009252,0.09070276516186952,0.0670306361940288,0.04585460960935075,0.5073313782991202,0.6384517009941213
CVX,341,0.005094497817651161,0.07137575090779194,0.05192165687862714,0.04011154171914061,0.5542521994134897,0.6660704809601932
PG,341,0.003650633385177237,0.06042047157360853,0.04306669590818422,0.036218525966840186,0.5659824046920822,0.9691570956126108
JNJ,341,0.003009168150476188,0.054855885285684594,0.04161635547966479,0.03447122723390784,0.5659824046920822,0.8932349104917964
HON,341,0.008819376155011365,0.09391153366339709,0.06020031706532486,0.03015491500621666,0.5747800586510264,0.5114400862373956
INTC,341,0.013973934926570099,0.11821139930890802,0.08388231899072503,0.028890580867280816,0.5425219941348973,0.6233280536418174
IBM,341,0.007781236739767513,0.08821131866017826,0.060081069944874124,0.010009308595023258,0.5630498533724341,1.1747470873863626
HD,341,0.006608236277937062,0.08129105902826622,0.061529810922231566,-0.0018854912911583856,0.5454545454545454,1.6211695717412302
CAT,341,0.009311566019723633,0.09649645599566667,0.07223858162201659,-0.013474381809536818,0.5513196480938416,0.6545522583709881
JPM,341,0.008502677400433405,0.0922099636722269,0.06836353827094334,-0.013493891860971162,0.533724340175953,0.7954110910071311
BA,341,0.0105575855209655,0.10275011202410195,0.07506214499206358,-0.016815355920000906,0.5454545454545454,1.3027320872393418
UNH,341,0.007828386089226464,0.08847816730259768,0.06132401769104864,-0.025471337932062715,0.5894428152492669,0.6894718456937933
AMGN,341,0.0073219467936500625,0.08556837496207383,0.06395165248652229,-0.04624938029672996,0.5425219941348973,1.2239344614042362
AAPL,341,0.01567493153592529,0.12519956683601302,0.09147563211237675,-0.05266767456652864,0.5571847507331378,0.30176956783760156
MCD,341,0.004083470933732282,0.06390204170237664,0.04735851072381781,-0.052777993455097275,0.5689149560117303,0.9017505286867334
AXP,341,0.010293532768855565,0.10145704888698254,0.06395927519519798,-0.056564551425877206,0.5865102639296188,0.9124079218097966
MMM,341,0.005733576163313977,0.07572038142609938,0.052745252733285494,-0.060987303124720144,0.5395894428152492,1.019934279959207
MRK,341,0.006138329090534245,0.07834748936969356,0.05937064617847317,-0.067656486730351,0.530791788856305,0.8544201469350187
KO,341,0.004298518123215973,0.06556308506481352,0.04720064789068429,-0.06792690795798176,0.5571847507331378,0.8913574311871812
TRV,341,0.005461334897667366,0.07390084504027924,0.05240639071560554,-0.07957571407401316,0.5659824046920822,1.549324988113101
NKE,341,0.008045893281639752,0.08969890345840216,0.06478713714025343,-0.11852673134501694,0.5278592375366569,1.2801423961845044
